name,longitude,latitude,prov,date,key
"Haplospiza unicolor Cabanis, 1851",-49.275696,-26.48496,gbif,4/23/2023,4708174794
"Haplospiza unicolor Cabanis, 1851",-52.568893,-26.462187,gbif,4/23/2023,4826200899
"Haplospiza unicolor Cabanis, 1851",-44.746155,-22.36607,gbif,4/22/2023,4842861809
"Haplospiza unicolor Cabanis, 1851",-44.746155,-22.36607,gbif,4/22/2023,4738095528
"Haplospiza unicolor Cabanis, 1851",-44.86577,-22.161808,gbif,4/23/2023,4724132940
"Haplospiza unicolor Cabanis, 1851",-44.86577,-22.161808,gbif,4/23/2023,4736020836
"Haplospiza unicolor Cabanis, 1851",-50.174496,-29.480644,gbif,4/23/2023,4627271193
"Haplospiza unicolor Cabanis, 1851",-44.746155,-22.36607,gbif,4/22/2023,4615529237
"Haplospiza unicolor Cabanis, 1851",-46.522892,-23.491941,gbif,4/25/2023,4795370022
"Haplospiza unicolor Cabanis, 1851",-50.174496,-29.480644,gbif,4/23/2023,4667553277
"Haplospiza unicolor Cabanis, 1851",-44.615078,-22.431982,gbif,4/25/2023,4810086839
"Haplospiza unicolor Cabanis, 1851",-49.27277,-26.48117,gbif,4/25/2023,4614982083
"Haplospiza unicolor Cabanis, 1851",-48.682682,-24.455368,gbif,4/29/2023,4811430865
"Haplospiza unicolor Cabanis, 1851",-47.35203,-24.030302,gbif,4/30/2023,4801666729
"Haplospiza unicolor Cabanis, 1851",-47.350826,-24.0298,gbif,4/30/2023,4817592701
"Haplospiza unicolor Cabanis, 1851",-46.43466,-23.864254,gbif,4/30/2023,4738656846
"Haplospiza unicolor Cabanis, 1851",-46.399178,-24.015411,gbif,4/15/2023,4806331533
"Haplospiza unicolor Cabanis, 1851",-46.384846,-23.985893,gbif,4/29/2023,4671677457
"Haplospiza unicolor Cabanis, 1851",-48.682682,-24.455368,gbif,4/29/2023,4807446897
"Haplospiza unicolor Cabanis, 1851",-48.40946,-24.26784,gbif,4/15/2023,4742153932
"Haplospiza unicolor Cabanis, 1851",-52.014126,-26.817616,gbif,4/30/2023,4623628339
